doi,type,year,source,title,IC2-RQ1,IC2-RQ2,IC2-RQ3,IC3,EC3,EC6,Decisions,Comments,,
10.1109/ICASSP.1980.1170890,inproceedings,1980.0,"ICASSP '80. IEEE International Conference on Acoustics, Speech, and Signal Processing",ALE Gain performance for narrowband signals in white Gaussian noise,False,False,False,False,False,False,N,,,
10.1145/1377966.1377978,inproceedings,2008.0,Proceedings of the 2008 Workshop on BEyond Time and Errors: Novel EvaLuation Methods for Information Visualization,Using multi-dimensional in-depth long-term case studies for information visualization evaluation,False,False,False,False,False,False,N,,,
10.1016/0165-1684(82)90041-X,article,1982.0,Signal Processing,The two-dimensional minimum-bias window function,False,False,False,False,False,False,N,,,
10.1016/0022-460X(80)90614-8,article,1980.0,Journal of Sound and Vibration,Combination resonance of parametrically excited coupled second order systems with non-linear damping,False,False,False,False,False,False,N,,,
10.1109/TED.2020.3025271,article,2020.0,IEEE Transactions on Electron Devices,Reliability of Logic-in-Memory Circuits in Resistive Memory Arrays,False,False,False,False,False,False,N,,,
10.1016/S0263-2241(03)00051-4,article,2003.0,Measurement,Application of a quartz resonator to a force sensor built in a robot finger for use in a grasp or recognition environment,False,False,False,False,False,False,N,,,
10.1016/j.ijepes.2020.106153,article,2020.0,International Journal of Electrical Power & Energy Systems,Thermodynamic modelling of buried transformer substations for dynamic loading capability assessment considering underground heat accumulative effect,False,False,False,False,False,False,N,,,
10.1016/j.na.2022.113207,article,2023.0,Nonlinear Analysis,Remarks on dimension of unions of curves,False,False,False,False,False,False,N,,,
10.1016/j.compstruc.2024.107641,article,2025.0,Computers & Structures,A discontinuous Galerkin method based isogeometric analysis framework for flexoelectricity in micro-architected dielectric solids,False,False,False,False,False,False,N,,,
10.1145/1639714.1639802,inproceedings,2009.0,Proceedings of the Third ACM Conference on Recommender Systems,Situation-aware trust management,False,False,False,False,False,False,N,,,
10.1016/j.measurement.2018.11.015,article,2019.0,Measurement,Non-Uniform Wavelet Bandpass Sampling Analog-to-Information Converter: A hardware implementation and its experimental assessment,False,False,False,False,False,False,N,,,
10.1109/NBiS.2015.124,inproceedings,2015.0,2015 18th International Conference on Network-Based Information Systems,Exploring the Cognitive Psychology Paradigm of a Programming Language and Identification of Emotion under Collective Intelligence: An Experience with an Ant Colony Metaphor,False,False,False,False,False,False,N,,,
10.1109/TBDATA.2017.2723022,article,2017.0,IEEE Transactions on Big Data,Debugging Object Tracking by a Recommender System with Correction Propagation,False,False,False,False,False,False,N,,,
10.1103/PhysRevLett.84.806,inproceedings,2000.0,Quantum Electronics and Laser Science Conference (QELS 2000). Technical Digest. Postconference Edition. TOPS Vol.40 (IEEE Cat. No.00CH37089),Vortex formation in a stirred Bose-Einstein condensate,False,False,False,False,False,False,N,,,
10.1016/S0167-6105(99)00033-1,article,1999.0,Journal of Wind Engineering and Industrial Aerodynamics,Prediction of wind noise radiated from passenger cars and its evaluation based on auralization,False,False,False,False,False,False,N,,,
10.1109/WECWIS.2000.853855,inproceedings,2000.0,Proceedings Second International Workshop on Advanced Issues of E-Commerce and Web-Based Information Systems. WECWIS 2000,An infrastructure for meta-auctions,False,False,False,False,False,False,N,,,
10.1016/j.commatsci.2010.04.020,article,2010.0,Computational Materials Science,First-principles study of the stability of NbC and NbN precipitates under coherency strains in α-iron,False,False,False,False,False,False,N,,,
10.1016/j.rcim.2013.11.003,article,2014.0,Robotics and Computer-Integrated Manufacturing,An open-source multi-DOF articulated robotic educational platform for autonomous object manipulation,False,False,False,False,False,False,N,,,
10.1145/1636665.1636668,article,2009.0,ACM Trans. Auton. Adapt. Syst.,An immunologically-inspired autonomic framework for self-organizing and evolvable network applications,False,False,False,False,False,False,N,,,
10.1016/j.engappai.2014.03.005,article,2014.0,Engineering Applications of Artificial Intelligence,GULLIVER: A decision-making system based on user observation for an adaptive training in informed virtual environments,False,False,False,False,False,False,N,,,
10.1109/TLA.2018.8795111,article,2018.0,IEEE Latin America Transactions,Body Posture Visualizer to Support Multimodal Learning Analytics,False,False,False,False,False,False,N,,,
10.1016/j.ijmachtools.2018.05.008,article,2018.0,International Journal of Machine Tools and Manufacture,On the generation of chatter marks in peripheral milling: A spectral interpretation,False,False,False,False,False,False,N,,,
10.1016/j.compfluid.2018.01.012,article,2018.0,Computers & Fluids,Impact of uncertainties in outflow boundary conditions on the predictions of hemodynamic simulations of ascending thoracic aortic aneurysms,False,False,False,False,False,False,N,,,
10.1145/3159450.3159598,inproceedings,2018.0,Proceedings of the 49th ACM Technical Symposium on Computer Science Education,Coding or Hacking? Exploring Inaccurate Views on Computing and Computer Scientists among K-6 Learners in Chile,False,False,False,False,False,False,N,,,
10.1016/j.snb.2017.05.094,article,2017.0,Sensors and Actuators B: Chemical,Development and application of molecularly imprinted quartz crystal microbalance sensor for rapid detection of metolcarb in foods,False,False,False,False,False,False,N,,,
